files,size,comp_size,line_count,line_length,part,file_type_a,file_type_tech,flag_one,flag_two,note,study_num,permission,legacy_id,timestamp,original_study_id
"ibt34",204163,NULL,NULL,NULL,"Hong Kong 1966 Ratios","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",761,"2007-12-13 10:08:39",292
"ibt35",15332,NULL,NULL,NULL,"Hong Kong 1966 Mobility","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",762,"2007-12-13 10:08:40",292
"ibt36",56312,NULL,NULL,NULL,"Hong Kong 1966 Distributions","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",763,"2007-12-13 10:08:40",292
"ibt37",29177,NULL,NULL,NULL,"Hong Kong 1966 Female Labor Force","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",764,"2007-12-13 10:08:40",292
"ibt38",7014,NULL,NULL,NULL,"Hong Kong 1966 Fertility","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",765,"2007-12-13 10:08:41",292
"ibt39",98086,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",766,"2007-12-13 10:08:41",292
"ibt4",199243,NULL,NULL,NULL,"Taiwan 1966 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",767,"2007-12-13 10:08:41",292
"ibt40",399848,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",768,"2007-12-13 10:08:41",292
"ibt41",427538,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",769,"2007-12-13 10:08:42",292
"ibt42",15679,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",770,"2007-12-13 10:08:42",292
"ibt43",111582,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",771,"2007-12-13 10:08:42",292
"ibt44",205298,NULL,NULL,NULL,"Korea 1925 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",772,"2007-12-13 10:08:43",292
"ibt45",136715,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",773,"2007-12-13 10:08:43",292
"ibt46",241312,NULL,NULL,NULL,"Korea 1925-1944 Population structure","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",774,"2007-12-13 10:08:43",292
"ibt47",42252,NULL,NULL,NULL,"Korea 1930 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",775,"2007-12-13 10:08:43",292
"ibt48",483511,NULL,NULL,NULL,"All Parts","FORTRAN Program","Text",NULL,NULL,NULL,293,"-rw-rw-r--",776,"2007-12-13 10:09:09",292
"ibt49",65201,NULL,NULL,NULL,"All Parts","IBM JCL","Text",NULL,NULL,NULL,293,"-rw-rw-r--",777,"2007-12-13 10:09:09",292
"ibt5",655677,NULL,NULL,NULL,"Taiwan 1966 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",778,"2007-12-13 10:09:10",292
"ibt50",59611,NULL,NULL,NULL,"All Parts","Codebook","Text",NULL,NULL,NULL,293,"-rw-rw-r--",779,"2007-12-13 10:09:10",292
"ibt6",439602,NULL,NULL,NULL,"Taiwan 1915 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",780,"2007-12-13 10:09:10",292
"ibt7",74423,NULL,NULL,NULL,"Taiwan 1915 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",781,"2007-12-13 10:09:13",292
"ibt8",675402,NULL,NULL,NULL,"Taiwan 1915 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",782,"2007-12-13 10:09:10",292
"ibt9",107630,NULL,NULL,NULL,"Taiwan 1915 Census","Data","Text",NULL,NULL,NULL,293,"-rw-rw-r--",783,"2007-12-13 10:09:12",292
"israel.dec73.gz",NULL,NULL,NULL,NULL,"Phase 4 December 1973 (ICPSR 0 Preliminary Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",787,"2007-12-06 10:41:22",295
"israel.may73.gz",NULL,NULL,NULL,NULL,"Phase 1 May 1973 (ICPSR 0 Preliminary Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",789,"2007-12-06 10:41:22",295
"israel.nov73.gz",NULL,NULL,NULL,NULL,"Phase 3 November 1973 (ICPSR 0 Preliminary Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",790,"2007-12-06 10:41:22",295
"israel.sep73.gz",NULL,NULL,NULL,NULL,"Phase 2 September 1973 (ICPSR 0 Preliminary Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",791,"2007-12-06 10:41:22",295
"israel.jan74.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,296,NULL,8537,"2008-06-25 13:23:53",295
"may1973.gz",NULL,NULL,NULL,NULL,"Phase 1: May 1973 (Asher Arian  Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",793,"2007-12-06 10:41:23",295
"sept1973.gz",NULL,NULL,NULL,NULL,"Phase 2: September 1973 (Asher  Arian Version)","Data","Text",NULL,NULL,NULL,296,"-rwxrwxr--",795,"2007-12-06 10:41:23",295
"yank8348.yankcolb.gz",NULL,NULL,NULL,NULL,NULL,"Fixed Width Text Data","Column binary",NULL,NULL,"recat",297,"-rwxrwxr--",796,"2006-03-02 11:44:13",296
"pub.priv.colbin.gz",NULL,NULL,NULL,NULL,NULL,"Data","Column binary",NULL,NULL,"recat",298,"-rwxrwxr--",797,"2004-06-11 14:52:02",297
"class73.tenyear",86389,NULL,"12181","80",NULL,"Data","Text",NULL,NULL,"recat",299,"-rw-rw-r--",798,"2007-12-13 10:13:42",298
"CHILD1P.DAT",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,2919,NULL,8367,"2008-06-25 13:24:05",2912
"SCHOOL.DAT",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,2919,NULL,8366,"2008-06-25 13:24:05",2912
"SETUP.EXE",NULL,NULL,NULL,NULL,NULL,"Application","exe",NULL,NULL,NULL,2919,NULL,8365,"2008-06-25 13:24:05",2912
".",NULL,NULL,NULL,NULL,NULL,NULL,"adobe/text/image/exe",NULL,NULL,NULL,2919,NULL,8364,"2008-06-25 13:24:05",2912
"inmovers",141372,NULL,"252","560","Wave  II","Data","Text",NULL,NULL,"recat",330,"-rw-rw-r--",837,"2007-12-13 09:26:19",329
"ldrmrg",160314,NULL,"154","1040"," Leadership Survey for Waves I and II, Matched and Merged","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",838,"2007-12-13 09:26:20",329
"ldrpanel",324208,NULL,"368","80"," Leadership Panel","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",839,"2007-12-13 09:26:20",329
"leadrw2",32561,NULL,"406","80","Leadership Survey","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",840,"2007-12-13 09:26:20",329
"neighbr",2886408,NULL,"1288","2240"," Wave  II","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",841,"2007-12-13 09:26:20",329
"original",390173,NULL,"973","400"," Wave  II","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",842,"2007-12-13 09:26:21",329
"outmover",29884,NULL,"124","240",NULL,"Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",843,"2007-12-13 09:26:21",329
"panel",1668537,NULL,"1097","1520","Wave  II","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",844,"2007-12-13 09:26:21",329
"pubcenrs",1382723,NULL,"1683","880"," Wave  I, Original Sample","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",845,"2007-12-13 09:26:21",329
"subr",25263,NULL,"63","400","January 1972: Wave  II","Data","Text",NULL,NULL,NULL,330,"-rw-rw-r--",846,"2007-12-13 09:26:22",329
"argentin.gz",NULL,NULL,NULL,NULL,"Buenos Aires","Data","SPSS",NULL,NULL,"recat",331,"-rwxrwxr--",847,"2004-06-11 14:52:02",330
"argentin.por.gz",NULL,NULL,NULL,NULL,"Buenos Aires","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",848,"2004-06-11 14:52:02",330
"brazil.gz",NULL,NULL,NULL,NULL,"Rio de Janeiro","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",849,"2004-06-11 14:52:02",330
"brazil.por.gz",NULL,NULL,NULL,NULL,"Rio de Janeiro","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",850,"2004-06-11 14:52:02",330
"colombia.gz",NULL,NULL,NULL,NULL,"Bogota","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",851,"2004-06-11 14:52:02",330
"colombia.por.gz",NULL,NULL,NULL,NULL,"Bogota","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",852,"2004-06-11 14:52:02",330
"costaric.gz",NULL,NULL,NULL,NULL,"San Jose","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",853,"2004-06-11 14:52:02",330
"costaric.por.gz",NULL,NULL,NULL,NULL,"San Jose","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",854,"2004-06-11 14:52:02",330
"ecuad1.gz",NULL,NULL,NULL,NULL,"Quito","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",855,"2004-06-11 14:52:02",330
"ecuad1.por.gz",NULL,NULL,NULL,NULL,"Quito","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",856,"2004-06-11 14:52:02",330
"ecuad2.gz",NULL,NULL,NULL,NULL,"Guyaquil","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",857,"2004-06-11 14:52:02",330
"ecuad2.por.gz",NULL,NULL,NULL,NULL,"Guyaquil","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",858,"2004-06-11 14:52:02",330
"guatemal.gz",NULL,NULL,NULL,NULL,"Guatemala City","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",859,"2004-06-11 14:52:02",330
"guatemal.por.gz",NULL,NULL,NULL,NULL,"Guatemala City","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",860,"2004-06-11 14:52:02",330
"mexico.gz",NULL,NULL,NULL,NULL,"Mexico City","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",861,"2004-06-11 14:52:02",330
"mexico.por.gz",NULL,NULL,NULL,NULL,"Mexico City","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",862,"2004-06-11 14:52:02",330
"panama.gz",NULL,NULL,NULL,NULL,"Panama City","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",863,"2004-06-11 14:52:02",330
"panama.por.gz",NULL,NULL,NULL,NULL,"Panama City","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",864,"2004-06-11 14:52:02",330
"venezuel.gz",NULL,NULL,NULL,NULL,"Caracas","Data","SPSS",NULL,NULL,NULL,331,"-rwxrwxr--",865,"2004-06-11 14:52:02",330
"venezuel.por.gz",NULL,NULL,NULL,NULL,"Caracas","Data","SPSS Portable",NULL,NULL,NULL,331,"-rwxrwxr--",866,"2004-06-11 14:52:02",330
"motr4.data.gz",NULL,NULL,NULL,NULL,"Great Britain","Data","Text",NULL,NULL,NULL,333,"-rwxrwxr--",868,"2007-10-11 10:10:11",332
"LATINAMERICA-DATA.SAV",NULL,NULL,NULL,NULL,NULL,"Data","SPSS",NULL,NULL,NULL,5006,NULL,8378,"2008-06-25 13:24:05",2971
"fac77.dict2.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Proprietary?",NULL,NULL,NULL,339,"-rwxrwxr--",880,"2007-10-18 10:23:32",338
"go07235a.cdbk.gz",NULL,NULL,NULL,NULL,"Form A","Codebook","Text",NULL,NULL,NULL,339,"-rwxrwxr--",881,"2007-10-18 10:24:13",338
"go07235b.cdbk.gz",NULL,NULL,NULL,NULL,"Form B","Codebook","Text",NULL,NULL,NULL,339,"-rwxrwxr--",882,"2007-10-18 10:24:14",338
"go7235a.clean.gz",NULL,NULL,NULL,NULL,"Form A","Data","Text",NULL,NULL,NULL,339,"-rwxrwxr--",883,"2007-10-18 10:24:16",338
"go7235b.clean.gz",NULL,NULL,NULL,NULL,"Form B","Data","Text",NULL,NULL,NULL,339,"-rwxrwxr--",884,"2007-10-18 10:24:17",338
"go7235c.clean.gz",NULL,NULL,NULL,NULL,"Form C","Data","Text",NULL,NULL,NULL,339,"-rwxrwxr--",885,"2007-10-18 10:24:17",338
"yank8033.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,343,"-rwxrwxr--",894,"2007-12-06 09:39:11",342
"yank8033.dict.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Text",NULL,NULL,NULL,343,"-rwxrwxr--",895,"2007-12-06 09:39:19",342
"y8084.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,344,"-rwxrwxr--",896,"2007-12-06 09:39:40",343
"y8084.dict.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Text",NULL,NULL,NULL,344,"-rwxrwxr--",897,"2007-12-06 09:39:41",343
"ladlip.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",345,"-rwxrwxr--",898,"2007-10-11 11:04:36",344
"ladlip.dict.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Text",NULL,NULL,"recat",345,"-rwxrwxr--",899,"2007-10-11 11:05:13",344
"fac77.cdbk.gz",NULL,NULL,NULL,NULL,NULL,"Codebook","Text",NULL,NULL,"recat",346,"-rwxrwxr--",900,"2007-10-18 10:24:52",345
"fac77.data2.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",346,"-rwxrwxr--",901,"2007-10-11 11:05:28",345
"fac77.dict2.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Text",NULL,NULL,"recat",346,"-rwxrwxr--",902,"2007-10-11 11:05:30",345
"relig.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",347,"-rwxrwxr--",903,"2007-10-04 10:38:25",346
"relig.dict.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary","Text",NULL,NULL,"recat",347,"-rwxrwxr--",904,"2007-10-04 10:36:20",346
"2003LATINAMERICA-SCRIPT.DOC",NULL,NULL,NULL,NULL,NULL,"Codebook","Word",NULL,NULL,NULL,5006,NULL,8379,"2008-06-25 13:24:05",2971
"l.a.times.study32.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",369,"-rwxrwxr--",948,"2007-10-11 10:02:38",368
"njp40.gz",NULL,NULL,NULL,NULL,NULL,"Data","SPSS System",NULL,NULL,NULL,388,"-rwxrwxr--",969,"2004-06-11 14:52:02",387
".",NULL,NULL,NULL,NULL,NULL,"Data","Adobe/text/excel",NULL,NULL,NULL,5018,NULL,8307,"2008-06-25 13:24:05",2983
".",NULL,NULL,NULL,NULL,NULL,NULL,"text/excel/application",NULL,NULL,"recat",391,NULL,974,"2007-12-13 10:07:47",390
"file1",38606100,NULL,"677300","57","Person ?","Data","Integer Binary",NULL,NULL,"recat",395,"-rw-r--r--",978,"2004-06-11 14:52:02",394
"file2",13292400,NULL,"233200","57","Household ?","Data","Integer Binary",NULL,NULL,"recat",395,"-rw-r--r--",979,"2004-06-11 14:52:02",394
"hh.sas",129,NULL,NULL,NULL,"Household","SAS Program","ASCII",NULL,NULL,"recat",395,"-rw-rw-r--",980,"2004-06-11 14:52:02",394
"person.sas",142,NULL,NULL,NULL,"Person","SAS Program","ASCII",NULL,NULL,"recat",395,"-rw-rw-r--",981,"2004-06-11 14:52:02",394
"readme",482,NULL,NULL,NULL,NULL,"Readme","ASCII",NULL,NULL,"recat",395,"-rw-rw-r--",982,"2004-06-11 14:52:02",394
"cen80.part.iii.gz",NULL,NULL,NULL,NULL,"Part 3","Data","Text",NULL,NULL,"recatpart of study (data display package on tape c260 could not be read)",398,"-rwxrwxr--",985,"2008-02-11 15:12:49",397
"cen80.part.iv.gz",NULL,NULL,NULL,NULL,"Part 4","Data","Text",NULL,NULL,"recat",398,"-rwxrwxr--",986,"2008-02-11 15:12:50",397
"ind.io.tdrc77.gz",NULL,NULL,"73977","164","537 Industry Transactions and Direct Requirements Coefficients",NULL,"Text",NULL,NULL,"recat",406,"-rwxrwxr--",994,"2007-12-06 10:37:46",405
"ind.io.trc77.gz",NULL,NULL,"249651","32","537 Industry Total Requirements Coefficients",NULL,"Text",NULL,NULL,"recat",406,"-rwxrwxr--",995,"2007-12-06 10:37:46",405
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Same as 490?",416,NULL,1005,"2004-06-11 14:52:02",415
"bls.eena.date9005.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,418,"-rwxrwxr--",1007,"2007-11-29 10:49:16",417
"codebook.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,425,"-rwxrwxr--",1014,"2012-05-07 08:02:02",424
"glenmary.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,425,"-rwxrwxr--",1015,"2012-05-07 08:01:58",424
"2015",NULL,NULL,NULL,NULL,NULL,"Data/Documentation","Stata/Adobe",NULL,NULL,NULL,NULL,NULL,10156,"2016-12-09 09:52:35",3687
".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10157,"2016-12-09 15:42:15",3830
".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10158,"2016-12-09 15:58:28",3956
".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10159,"2016-12-09 15:59:29",3957
"2013",NULL,NULL,NULL,NULL,NULL,"Data/Documentation",NULL,NULL,NULL,NULL,NULL,NULL,10198,"2017-05-05 09:30:35",3674
"StateTaxActions",NULL,NULL,NULL,NULL,NULL,"Report","Adobe",NULL,NULL,NULL,NULL,NULL,10196,"2017-05-02 12:35:50",3884
"2012",NULL,NULL,NULL,NULL,NULL,"Data/Documentation",NULL,NULL,NULL,NULL,NULL,NULL,10197,"2017-05-05 09:30:35",3674
"2013-2014.pdf",NULL,NULL,NULL,NULL,NULL,"Tables","Adobe",NULL,NULL,NULL,NULL,NULL,10193,"2017-04-26 16:25:45",3962
NULL,NULL,NULL,NULL,NULL,NULL,"Tables",NULL,NULL,NULL,NULL,NULL,NULL,10194,"2017-04-26 16:25:48",3962
"StateBudgetActions",NULL,NULL,NULL,NULL,NULL,"Report","Adobe",NULL,NULL,NULL,NULL,NULL,10195,"2017-05-02 12:35:45",3884
"CTYFILE.csv",NULL,NULL,NULL,NULL,NULL,"Codebook","Text",NULL,NULL,NULL,NULL,NULL,9190,"2012-03-07 15:23:06",3770
"2014",NULL,NULL,NULL,NULL,NULL,"Data/Documentation",NULL,NULL,NULL,NULL,NULL,NULL,10199,"2017-05-05 09:30:36",3674
"Place",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,NULL,NULL,9188,"2012-03-07 15:20:45",3770
"CNTYASC.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9189,"2012-03-07 15:23:00",3770
"County",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,NULL,NULL,9187,"2012-03-07 15:20:44",3770
"codebook.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9185,"2012-03-05 07:55:30",452
"codebook",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9186,"2012-03-05 08:02:18",927
"codebook.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9184,"2012-03-05 07:53:36",810
"Codebooks",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9182,"2012-02-24 08:00:14",329
"codebook.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9183,"2012-03-01 17:03:00",2928
"codebook.pdf",NULL,NULL,NULL,NULL,NULL,"Codebook","Adobe",NULL,NULL,NULL,NULL,NULL,9181,"2012-02-24 07:56:44",3150
"rg235.sdime.wifdf.gz",NULL,NULL,NULL,NULL,"Denver","Data","Text",NULL,NULL,"recat",439,"-rwxrwxr--",1056,"2008-02-07 09:56:37",438
"fasb36.data.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",450,"-rwxrwxr--",1070,"2007-11-29 10:58:20",449
"fasb36.sas.gz",NULL,NULL,NULL,NULL,NULL,"SAS Program","SAS",NULL,NULL,"recat",450,"-rwxrwxr--",1072,"2007-11-29 10:58:22",449
"fasb36.sasmerge.gz",NULL,NULL,NULL,NULL,NULL,"SAS Program","SAS",NULL,NULL,"recat",450,"-rwxrwxr--",1074,"2007-11-29 10:58:24",449
"fasb36.spss.gz",NULL,NULL,NULL,NULL,NULL,"SPSS Program","SPSS",NULL,NULL,"recat",450,"-rwxrwxr--",1076,"2007-11-29 10:58:25",449
"dict.eurob6.gz",NULL,NULL,NULL,NULL,NULL,"Dictionary",NULL,NULL,NULL,NULL,NULL,NULL,8144,"2006-02-06 10:34:07",3064
"fasb36.tapenote.gz",NULL,NULL,NULL,NULL,NULL,"Notes","Text",NULL,NULL,"recat",450,"-rwxrwxr--",1078,"2007-11-29 10:58:45",449
"data.eurob6.gz",NULL,NULL,NULL,NULL,NULL,"Data",NULL,NULL,NULL,NULL,NULL,NULL,8143,"2006-02-06 10:33:52",3064
"d0234.d177.t18306.gz",NULL,NULL,NULL,NULL,"1983","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1081,"2008-02-07 10:16:45",451
"d8759.p177.t38406.gz",NULL,NULL,NULL,NULL,"1984","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1082,"2008-02-07 10:16:46",451
"d8759.p177.t38506.gz",NULL,NULL,NULL,NULL,"1985","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1083,"2008-02-07 10:16:47",451
"d8759.p177.t38606.gz",NULL,NULL,NULL,NULL,"1986","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1084,"2008-02-07 10:16:48",451
"d8759.p177.t38706.gz",NULL,NULL,NULL,NULL,"1987","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1085,"2008-02-07 10:16:49",451
"d8759.p177.t38806.gz",NULL,NULL,NULL,NULL,"1988","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1086,"2008-02-07 10:16:49",451
"d8759.p177.t38906.gz",NULL,NULL,NULL,NULL,"1989","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1087,"2008-02-07 10:16:50",451
"d8759.p177.t39006.gz",NULL,NULL,NULL,NULL,"1990","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1088,"2008-02-07 10:16:52",451
"d8759.p177.t39106.gz",NULL,NULL,NULL,NULL,"1991","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1089,"2008-02-07 10:16:51",451
"d8759.p177.t39206.gz",NULL,NULL,NULL,NULL,"1992","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1090,"2008-02-07 10:16:52",451
"d8759.p177.t39306.gz",NULL,NULL,NULL,NULL,"1993","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1091,"2008-02-07 10:16:53",451
"d8759.p177.t39406.gz",NULL,NULL,NULL,NULL,"1994","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1092,"2008-02-07 10:16:54",451
"d8759.p177.t39506.gz",NULL,NULL,NULL,NULL,"1995","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1093,"2008-02-07 10:16:55",451
"d8759.p177.t39606.gz",NULL,NULL,NULL,NULL,"1996","Data","Text",NULL,NULL,"recat",452,"-rwxrwxr--",1094,"2008-02-07 10:16:55",451
"hospital.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,453,"-rwxrwxr--",1095,"2007-12-06 10:29:48",452
"rg235.sdime.wifsf.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,439,NULL,8138,"2008-06-25 13:23:53",438
"1984",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1100,"2013-10-28 10:06:56",456
"cobol.layout.gz",NULL,NULL,NULL,NULL,NULL,"COBOL Record Layout","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1101,"2007-11-15 09:51:32",456
"county.codes.gz",NULL,NULL,NULL,NULL,"County Codes and Names","Appendix","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1102,"2007-11-15 09:51:32",456
"hosp75.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1104,"2007-11-15 09:51:33",456
"hosp76.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1105,"2007-11-15 09:51:33",456
"hosp77.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1106,"2007-11-15 09:51:34",456
"hosp78.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1107,"2007-11-15 09:51:34",456
"hosp79.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1108,"2007-11-15 09:51:34",456
"hosp80.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1109,"2007-11-15 09:51:34",456
"hosp81.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1110,"2007-11-15 09:51:35",456
"hosp82.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1111,"2007-11-15 09:51:35",456
"hosp83.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1112,"2007-11-15 09:51:35",456
"hosp85.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1113,"2007-11-15 09:51:36",456
"hosp86.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1114,"2007-11-15 09:51:36",456
"hosp87.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1115,"2007-11-15 09:51:36",456
"hosp88.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1116,"2007-11-15 09:51:36",456
"msa.codes.gz",NULL,NULL,NULL,NULL,"Metropolitan Statistical Area Codes","Appendix","Text",NULL,NULL,NULL,457,"-rwxrwxr--",1117,"2007-11-15 09:51:37",456
"sas.layout.gz",NULL,NULL,NULL,NULL,NULL,"SAS Program","SAS",NULL,NULL,NULL,457,"-rwxrwxr--",1118,"2007-11-15 09:52:15",456
"occupat.titles.gz",NULL,NULL,NULL,NULL,NULL,"Data","Text",NULL,NULL,"recat",461,"-rwxrwxr--",1122,"2007-11-29 10:39:45",460
